sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
231,IL1<IL12<IL10,1.0,5.25,8.5,16.25
232,IL1<IL12<IL10,1.0,0.0,0.75,120.0
233,IL1<IL12<IL10,1.0,0.25,0.25,120.0
234,IL12<IL10<IL1,-0.33333333333333337,73.25,0.25,4.0
235,IL10<IL12<IL1,-1.0,5.5,4.5,0.0
236,IL1<IL12<IL10,1.0,0.0,0.25,19.25
237,IL1<IL12<IL10,1.0,6.75,8.5,120.0
238,IL12<IL1<IL10,0.33333333333333337,0.5,0.25,120.0
239,IL1<IL12<IL10,1.0,0.25,0.25,0.5
240,IL1<IL12<IL10,1.0,1.5,2.0,4.0
241,IL1<IL12<IL10,1.0,0.0,0.25,120.0
242,IL1<IL12<IL10,1.0,0.0,0.25,120.0
243,IL1<IL12<IL10,1.0,0.25,0.25,120.0
244,IL1<IL12<IL10,1.0,1.5,1.75,120.0
245,IL10<IL12<IL1,-1.0,3.25,1.25,1.0
246,IL1<IL10<IL12,0.33333333333333337,0.0,1.5,0.0
247,IL1<IL12<IL10,1.0,0.25,0.25,120.0
248,IL10<IL1<IL12,-0.33333333333333337,12.5,120.0,0.0
249,IL1<IL12<IL10,1.0,120.0,120.0,120.0
250,IL1<IL12<IL10,1.0,3.25,9.25,120.0
251,IL10<IL12<IL1,-1.0,9.0,8.0,0.0
252,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
253,IL1<IL10<IL12,0.33333333333333337,18.5,120.0,107.75
254,IL1<IL12<IL10,1.0,3.75,6.75,120.0
255,IL1<IL12<IL10,1.0,120.0,120.0,120.0
256,IL12<IL1<IL10,0.33333333333333337,12.0,7.25,120.0
257,IL1<IL10<IL12,0.33333333333333337,0.0,120.0,4.25
258,IL10<IL1<IL12,-0.33333333333333337,0.5,0.5,0.0
259,IL1<IL12<IL10,1.0,0.0,0.0,120.0
260,IL12<IL10<IL1,-0.33333333333333337,6.5,0.5,5.5
261,IL1<IL12<IL10,1.0,0.25,0.25,120.0
262,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
263,IL1<IL12<IL10,1.0,0.75,1.75,2.5
264,IL10<IL1<IL12,-0.33333333333333337,0.25,120.0,0.0
265,IL1<IL12<IL10,1.0,0.25,0.5,120.0
266,IL1<IL12<IL10,1.0,0.0,0.0,120.0
267,IL1<IL12<IL10,1.0,0.25,0.25,0.75
268,IL1<IL12<IL10,1.0,0.25,0.25,120.0
269,IL1<IL12<IL10,1.0,0.0,0.25,10.25
270,IL12<IL1<IL10,0.33333333333333337,10.25,9.5,28.0
271,IL1<IL12<IL10,1.0,0.25,0.25,0.25
272,IL1<IL12<IL10,1.0,0.25,0.25,120.0
273,IL1<IL12<IL10,1.0,39.0,59.5,102.5
274,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
275,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
276,IL1<IL12<IL10,1.0,0.0,0.0,3.0
277,IL1<IL10<IL12,0.33333333333333337,4.75,7.5,6.25
278,IL1<IL12<IL10,1.0,7.0,19.25,120.0
279,IL1<IL12<IL10,1.0,0.75,1.5,2.75
280,IL1<IL12<IL10,1.0,1.25,1.25,29.0
