snapshot_h,node,metric,top1_frequency_pct,mean_value,median_value
48,IL4,topology_in,0.0,2.776580107790299,3.0
48,D,topology_in,6.222439980401764,4.352768250857423,5.0
48,M1,topology_out,0.09799118079372857,2.8378245957863792,4.0
48,M2,topology_out,13.375796178343949,2.9882410583047525,3.0
48,IL1,topology_out,0.04899559039686428,2.3165115139637433,3.0
48,IL12,topology_out,64.62518373346398,4.666829985301323,6.0
48,IL10,topology_out,20.82312591866732,5.170994610485057,6.0
48,IL4,topology_out,1.02890739833415,4.318471337579618,5.0
48,D,topology_out,0.0,1.2562469377756003,2.0
72,M1,weighted_in,11.268985791278785,64822.19210962469,1.373179448297057
72,M2,weighted_in,69.62273395394415,1284364.6726986037,5913.387809994417
72,IL1,weighted_in,0.0,1521.7788475403365,0.060913363360409103
72,IL12,weighted_in,0.0,33.75918678070207,0.031078016067757484
72,IL10,weighted_in,15.92356687898089,92247.28598739352,519.1958171924766
72,IL4,weighted_in,3.1847133757961785,19075.217230901573,8.422138730962716
72,D,weighted_in,0.0,3.7665746823130144,0.6669644261673524
72,M1,weighted_out,11.317981381675649,89083.36515451908,0.8824834589890385
72,M2,weighted_out,63.6452719255267,1238829.599134599,4837.833158277856
72,IL1,weighted_out,0.0,863.3177430780438,0.20940716542871068
72,IL12,weighted_out,0.04899559039686428,209.43987995326074,0.5877080058094832
72,IL10,weighted_out,17.785399314061735,105908.79249309153,902.2237497801373
72,IL4,weighted_out,7.202351788339049,27172.22367342986,260.646803034862
72,D,weighted_out,0.0,1.9345568562765212,0.22279688729976518
72,M1,topology_in,15.629593336599706,3.008329250367467,4.0
72,M2,topology_in,68.39784419402254,3.9358157765801076,5.0
72,IL1,topology_in,4.654581087702106,3.006859382655561,4.0
72,IL12,topology_in,0.0,2.4492895639392454,4.0
72,IL10,topology_in,4.703576678098971,2.7687408133268008,3.0
72,IL4,topology_in,0.0,2.7109260166585005,3.0
72,D,topology_in,6.614404703576677,4.067613914747673,5.0
72,M1,topology_out,0.09799118079372857,2.4899559039686427,4.0
72,M2,topology_out,19.157275845173935,2.9882410583047525,3.0
72,IL1,topology_out,0.09799118079372857,2.0872121509064185,3.0
72,IL12,topology_out,58.94169524742773,4.254777070063694,5.0
72,IL10,topology_out,20.578147966682998,4.89906908378246,6.0
72,IL4,topology_out,1.1268985791278785,4.1264086232239094,5.0
