scenario,AP,age,n_edges,top_hub,top_hub_weighted_in_degree
baseline,1.0,43.0,86,M_pro,7.911343198383278
baseline,1.0,44.0,86,M_pro,7.974474683206609
baseline,1.0,45.0,86,M_pro,8.001850862288832
baseline,1.0,46.0,86,M_pro,8.001205945020377
baseline,1.0,47.0,86,M_pro,7.978241620332727
baseline,1.0,48.0,86,M_pro,7.937146423969682
baseline,1.0,49.0,86,Mh_pro,8.105271059509397
baseline,1.0,50.0,86,Mh_pro,8.568686997768992
baseline,1.0,51.0,86,Mh_pro,9.034314152118863
baseline,1.0,52.0,86,Mh_pro,9.494810980296648
baseline,1.0,53.0,86,Mh_pro,9.943465646497643
baseline,1.0,54.0,86,Mh_pro,10.374331979458795
baseline,1.0,55.0,86,Mh_pro,10.782316098376905
baseline,1.0,56.0,86,Mh_pro,11.16321638070749
baseline,1.0,57.0,86,Mh_pro,11.513722291876817
baseline,1.0,58.0,86,Mh_pro,11.831380443052772
baseline,1.0,59.0,86,Mh_pro,12.114535467733806
baseline,1.0,60.0,86,Mh_pro,12.36225322366991
baseline,1.0,61.0,86,Mh_pro,12.574233781713987
baseline,1.0,62.0,86,Mh_pro,12.750720638141768
baseline,1.0,63.0,86,Mh_pro,12.892410760831394
baseline,1.0,64.0,86,Mh_pro,13.00036889607431
baseline,1.0,65.0,86,Mh_pro,13.075948327780651
baseline,1.0,66.0,86,Mh_pro,13.120719676312902
baseline,1.0,67.0,86,Mh_pro,13.136408279891807
baseline,1.0,68.0,86,Mh_pro,13.124841606700912
baseline,1.0,69.0,86,Mh_pro,13.087903836169685
baseline,1.0,70.0,86,Mh_pro,13.027498712622341
baseline,1.0,71.0,86,Mh_pro,12.945519474540365
baseline,1.0,72.0,86,Mh_pro,12.843825340867134
baseline,1.0,73.0,86,Mh_pro,12.724222629624174
baseline,1.0,74.0,87,Mh_pro,12.588451507005242
baseline,1.0,75.0,87,Mh_pro,12.438176025139892
baseline,1.0,76.0,87,Mh_pro,12.274977365084764
baseline,1.0,77.0,87,Mh_pro,12.100349442933805
baseline,1.0,78.0,87,Mh_pro,11.915698130020537
baseline,1.0,79.0,87,Mh_pro,11.722339807068746
baseline,1.0,80.0,87,Mh_pro,11.521502484238097
TNF_inhibition,0.0,30.0,10,P,4.889191618807175
TNF_inhibition,0.0,31.0,80,P,4.508801438639815
TNF_inhibition,0.0,32.0,82,Mh_pro,5.736560875729824
TNF_inhibition,0.0,33.0,84,Mh_pro,6.773581439038097
TNF_inhibition,0.0,34.0,85,Mh_pro,7.000146283341331
TNF_inhibition,0.0,35.0,85,M_pro,7.203322129044293
TNF_inhibition,0.0,36.0,85,M_pro,8.520921965839888
TNF_inhibition,0.0,37.0,85,M_pro,8.964234147786557
TNF_inhibition,0.0,38.0,85,M_pro,8.675981835383416
TNF_inhibition,0.0,39.0,86,M_pro,7.961197787928041
TNF_inhibition,0.0,40.0,86,M_pro,7.095934929837486
TNF_inhibition,0.0,41.0,86,M_pro,6.2457546741946945
TNF_inhibition,0.0,42.0,86,Fi,5.52975068547214
TNF_inhibition,0.0,43.0,86,ABo,5.638059606191382
TNF_inhibition,0.0,44.0,86,ABo,5.721770774692802
TNF_inhibition,0.0,45.0,86,ABo,5.782293211232087
TNF_inhibition,0.0,46.0,86,Fo,6.0706314030257635
TNF_inhibition,0.0,47.0,86,Fo,6.461786537366601
TNF_inhibition,0.0,48.0,86,Fo,6.805821810617687
TNF_inhibition,0.0,49.0,86,Fo,7.105633451744311
TNF_inhibition,0.0,50.0,86,Fo,7.364852175070271
TNF_inhibition,0.0,51.0,86,Fo,7.587452852285753
TNF_inhibition,0.0,52.0,86,Fo,7.777479353193025
TNF_inhibition,0.0,53.0,86,Fo,7.938862330849294
TNF_inhibition,0.0,54.0,86,Fo,8.075298822702619
TNF_inhibition,0.0,55.0,86,Fo,8.190184321957197
TNF_inhibition,0.0,56.0,86,Fo,8.286581912279171
TNF_inhibition,0.0,57.0,86,Fo,8.367215646591081
TNF_inhibition,0.0,58.0,86,Fo,8.43447971433719
TNF_inhibition,0.0,59.0,86,Fo,8.4904578069366
TNF_inhibition,0.0,60.0,86,Fo,8.53694890233749
TNF_inhibition,0.0,61.0,86,Fo,8.57549549420612
TNF_inhibition,0.0,62.0,86,Fo,8.607412003281068
TNF_inhibition,0.0,63.0,86,Fo,8.633812379007587
TNF_inhibition,0.0,64.0,86,Fo,8.655636038600303
TNF_inhibition,0.0,65.0,86,Fo,8.673672231730393
TNF_inhibition,0.0,66.0,86,Fo,8.688581412615115
TNF_inhibition,0.0,67.0,86,Fo,8.700914115464942
TNF_inhibition,0.0,68.0,86,P,8.880177348444022
TNF_inhibition,0.0,69.0,86,P,9.140094997965331
TNF_inhibition,0.0,70.0,86,P,9.39170805044244
TNF_inhibition,0.0,71.0,86,P,9.6348447725993
TNF_inhibition,0.0,72.0,86,P,9.86940257482756
TNF_inhibition,0.0,73.0,86,P,10.095339006515532
TNF_inhibition,0.0,74.0,87,P,10.312663590979477
TNF_inhibition,0.0,75.0,87,P,10.52143076120242
TNF_inhibition,0.0,76.0,87,P,10.721732581086616
TNF_inhibition,0.0,77.0,87,P,10.913692935330358
TNF_inhibition,0.0,78.0,86,P,11.097461287328272
TNF_inhibition,0.0,79.0,86,P,11.273209194278111
TNF_inhibition,0.0,80.0,86,P,11.441126070250881
TNF_inhibition,1.0,30.0,10,ABm,3.497129677023626
TNF_inhibition,1.0,31.0,80,Mh_pro,3.7489423980125496
TNF_inhibition,1.0,32.0,82,Mh_pro,5.96585200980765
TNF_inhibition,1.0,33.0,84,Mh_pro,7.0462666857585425
TNF_inhibition,1.0,34.0,85,Mh_pro,7.272421110432733
TNF_inhibition,1.0,35.0,85,M_pro,8.627413579827092
TNF_inhibition,1.0,36.0,85,M_pro,9.575842017775916
TNF_inhibition,1.0,37.0,85,M_pro,9.430288375823745
TNF_inhibition,1.0,38.0,85,M_pro,8.613557424710008
TNF_inhibition,1.0,39.0,86,M_pro,7.5683155778475255
TNF_inhibition,1.0,40.0,86,M_pro,6.5553314900095625
TNF_inhibition,1.0,41.0,86,M_pro,5.671763158305601
TNF_inhibition,1.0,42.0,86,Fi,5.530485711339901
TNF_inhibition,1.0,43.0,86,Fi,5.632104048751266
TNF_inhibition,1.0,44.0,86,Fi,5.708696287472898
TNF_inhibition,1.0,45.0,86,Fo,6.007548158639434
TNF_inhibition,1.0,46.0,86,Fo,6.482066373473786
TNF_inhibition,1.0,47.0,86,Fo,6.9041301958631305
TNF_inhibition,1.0,48.0,86,Fo,7.275286536392491
TNF_inhibition,1.0,49.0,86,Fo,7.59850648284219
TNF_inhibition,1.0,50.0,86,Fo,7.877619981911736
TNF_inhibition,1.0,51.0,86,Fo,8.116887133186475
TNF_inhibition,1.0,52.0,86,Fo,8.320686428757698
TNF_inhibition,1.0,53.0,86,Fo,8.493300761087925
TNF_inhibition,1.0,54.0,86,Fo,8.638779036441015
TNF_inhibition,1.0,55.0,86,Fo,8.760853565303256
TNF_inhibition,1.0,56.0,86,Fo,8.862897264958391
TNF_inhibition,1.0,57.0,86,Fo,8.947911734321863
TNF_inhibition,1.0,58.0,86,Fo,9.018534867754456
TNF_inhibition,1.0,59.0,86,Fo,9.077060304331392
TNF_inhibition,1.0,60.0,86,Fo,9.125464063972844
TNF_inhibition,1.0,61.0,86,Fo,9.165435429035792
TNF_inhibition,1.0,62.0,86,Fo,9.198408941302695
TNF_inhibition,1.0,63.0,86,Fo,9.225595414655109
TNF_inhibition,1.0,64.0,86,Fo,9.248011127287873
TNF_inhibition,1.0,65.0,86,Fo,9.266504813512631
TNF_inhibition,1.0,66.0,86,Fo,9.281782304341604
TNF_inhibition,1.0,67.0,86,Fo,9.294428209756198
TNF_inhibition,1.0,68.0,86,Fo,9.304924705499973
TNF_inhibition,1.0,69.0,86,Fo,9.313667939979586
TNF_inhibition,1.0,70.0,86,Fo,9.320982293769589
TNF_inhibition,1.0,71.0,86,P,9.413031847584548
TNF_inhibition,1.0,72.0,86,P,9.6089663537631
TNF_inhibition,1.0,73.0,86,P,9.79628382876089
TNF_inhibition,1.0,74.0,87,P,9.97524541441513
TNF_inhibition,1.0,75.0,87,P,10.146131033829484
TNF_inhibition,1.0,76.0,87,P,10.309233991634702
TNF_inhibition,1.0,77.0,87,P,10.464854781068931
TNF_inhibition,1.0,78.0,86,P,10.613297247231925
TNF_inhibition,1.0,79.0,86,P,10.754865403437215
TNF_inhibition,1.0,80.0,86,P,10.889860532881304
IL10_boost,0.0,30.0,10,P,6.125602973847894
IL10_boost,0.0,31.0,79,P,5.64899732074023
IL10_boost,0.0,32.0,82,Mh_pro,6.956112324201756
IL10_boost,0.0,33.0,84,Mh_pro,8.039228379468465
IL10_boost,0.0,34.0,85,Mh_pro,8.01507674623331
IL10_boost,0.0,35.0,85,M_pro,7.849727126175432
IL10_boost,0.0,36.0,85,M_pro,8.803994530242495
IL10_boost,0.0,37.0,85,M_pro,8.902510240646885
IL10_boost,0.0,38.0,85,M_pro,8.488278555748975
IL10_boost,0.0,39.0,86,M_pro,7.861782383745978
IL10_boost,0.0,40.0,86,M_pro,7.190524741850891
IL10_boost,0.0,41.0,86,M_pro,6.546081440274109
IL10_boost,0.0,42.0,86,M_pro,5.952686299741875
IL10_boost,0.0,43.0,86,ABo,5.638084231451291
IL10_boost,0.0,44.0,86,ABo,5.721482221453874
IL10_boost,0.0,45.0,86,Fo,5.861354734318807
IL10_boost,0.0,46.0,86,Fo,6.3212475429026345
IL10_boost,0.0,47.0,86,Fo,6.73331913663665
IL10_boost,0.0,48.0,86,Fo,7.100044708619687
IL10_boost,0.0,49.0,86,Fo,7.424991381445656
IL10_boost,0.0,50.0,86,Fo,7.712227395726624
IL10_boost,0.0,51.0,86,Fo,7.9658824488849085
IL10_boost,0.0,52.0,86,Fo,8.189846552876649
IL10_boost,0.0,53.0,86,Fo,8.387578961329973
IL10_boost,0.0,54.0,86,Fo,8.562013235481205
IL10_boost,0.0,55.0,86,Fo,8.715544002887842
IL10_boost,0.0,56.0,86,Fo,8.850087805482172
IL10_boost,0.0,57.0,86,Fo,8.967195759986687
IL10_boost,0.0,58.0,86,Fo,9.068194555476394
IL10_boost,0.0,59.0,86,Fo,9.154325094766739
IL10_boost,0.0,60.0,86,Fo,9.226849468600363
IL10_boost,0.0,61.0,86,Fo,9.287106838104291
IL10_boost,0.0,62.0,86,Fo,9.336516484280999
IL10_boost,0.0,63.0,86,Fo,9.376537915220167
IL10_boost,0.0,64.0,86,Fo,9.408610037133714
IL10_boost,0.0,65.0,85,IL4,9.510911920455948
IL10_boost,0.0,66.0,85,IL4,9.654637681747737
IL10_boost,0.0,67.0,85,IL4,9.769565924277723
IL10_boost,0.0,68.0,85,IL4,9.860796485352436
IL10_boost,0.0,69.0,85,IL4,9.932865549083624
IL10_boost,0.0,70.0,83,IL4,9.9896435886037
IL10_boost,0.0,71.0,83,IL4,10.034333175920478
IL10_boost,0.0,72.0,83,IL4,10.06952445689263
IL10_boost,0.0,73.0,83,IL4,10.097280170963998
IL10_boost,0.0,74.0,84,IL4,10.119223360738031
IL10_boost,0.0,75.0,84,IL4,10.136620991541971
IL10_boost,0.0,76.0,84,IL4,10.150457133003275
IL10_boost,0.0,77.0,84,P,10.197801798160414
IL10_boost,0.0,78.0,82,P,10.238856573950441
IL10_boost,0.0,79.0,82,P,10.272075076995485
IL10_boost,0.0,80.0,82,P,10.298093960955743
IL10_boost,1.0,30.0,10,ABm,3.496563402531316
IL10_boost,1.0,31.0,79,Mh_pro,4.791435679127352
IL10_boost,1.0,32.0,82,Mh_pro,7.542033168237723
IL10_boost,1.0,33.0,84,Mh_pro,8.695347621409308
IL10_boost,1.0,34.0,85,Mh_pro,8.591007679825749
IL10_boost,1.0,35.0,85,M_pro,9.186760741390408
IL10_boost,1.0,36.0,85,M_pro,9.621192584583312
IL10_boost,1.0,37.0,85,M_pro,9.180954359011611
IL10_boost,1.0,38.0,85,M_pro,8.401559308989672
IL10_boost,1.0,39.0,86,M_pro,7.58171730470624
IL10_boost,1.0,40.0,86,M_pro,6.832626445313853
IL10_boost,1.0,41.0,86,M_pro,6.180478917077122
IL10_boost,1.0,42.0,86,M_pro,5.621033145070407
IL10_boost,1.0,43.0,86,Fi,5.635619965170592
IL10_boost,1.0,44.0,86,Fo,5.86040851788818
IL10_boost,1.0,45.0,86,Fo,6.4222146717079145
IL10_boost,1.0,46.0,86,Fo,6.931124112009467
IL10_boost,1.0,47.0,86,Fo,7.387155839017932
IL10_boost,1.0,48.0,86,Fo,7.79207636336338
IL10_boost,1.0,49.0,86,Fo,8.148609878639368
IL10_boost,1.0,50.0,86,Fo,8.459913331656239
IL10_boost,1.0,51.0,86,Fo,8.729291434981338
IL10_boost,1.0,52.0,86,Fo,8.96010135056063
IL10_boost,1.0,53.0,86,Fo,9.155766912035023
IL10_boost,1.0,54.0,86,Fo,9.319816082892164
IL10_boost,1.0,55.0,86,Fo,9.455879004318925
IL10_boost,1.0,56.0,86,Fo,9.567621309024434
IL10_boost,1.0,57.0,86,Fo,9.65862773848281
IL10_boost,1.0,58.0,86,Fo,9.732271085454967
IL10_boost,1.0,59.0,86,Fo,9.791604315527598
IL10_boost,1.0,60.0,86,Fo,9.839293998834341
IL10_boost,1.0,61.0,86,Fo,9.877599524020107
IL10_boost,1.0,62.0,86,Fo,9.908389391523464
IL10_boost,1.0,63.0,85,Fo,9.933180763162785
IL10_boost,1.0,64.0,85,Fo,9.953190038040274
IL10_boost,1.0,65.0,85,Fo,9.969384758713007
IL10_boost,1.0,66.0,85,Fo,9.982531396898436
IL10_boost,1.0,67.0,85,Fo,9.993236284707296
IL10_boost,1.0,68.0,83,Fo,10.00197958487615
IL10_boost,1.0,69.0,83,Fo,10.009142442726471
IL10_boost,1.0,70.0,83,Fo,10.01502820362689
IL10_boost,1.0,71.0,83,Fo,10.019879209769476
IL10_boost,1.0,72.0,83,Fo,10.023889774401185
IL10_boost,1.0,73.0,83,Fo,10.027216040812489
IL10_boost,1.0,74.0,84,Fo,10.030000252032387
IL10_boost,1.0,75.0,82,Fo,10.035073354877714
IL10_boost,1.0,76.0,82,Fo,10.050155467832843
IL10_boost,1.0,77.0,82,P,10.143143772796574
IL10_boost,1.0,78.0,82,P,10.240816818733293
IL10_boost,1.0,79.0,82,P,10.331954204896913
IL10_boost,1.0,80.0,82,P,10.416902453689682
combo,0.0,30.0,10,P,5.854742890218463
combo,0.0,31.0,79,P,5.399202419644019
combo,0.0,32.0,82,Mh_pro,8.23442739347208
combo,0.0,33.0,84,Mh_pro,9.452245718539551
combo,0.0,34.0,85,Mh_pro,9.252434500419103
combo,0.0,35.0,85,M_pro,11.064666654552008
combo,0.0,36.0,85,M_pro,11.529126610383175
combo,0.0,37.0,85,M_pro,10.451230067892892
combo,0.0,38.0,85,M_pro,8.684856633169584
combo,0.0,39.0,86,M_pro,6.911666172386044
combo,0.0,40.0,86,M_pro,5.429542779432819
combo,0.0,41.0,86,Fi,5.395205204258751
combo,0.0,42.0,86,Fi,5.529369784329819
combo,0.0,43.0,86,ABo,5.637926981702852
combo,0.0,44.0,86,ABo,5.721646695052691
combo,0.0,45.0,86,Fo,5.843264761434754
combo,0.0,46.0,86,Fo,6.314607473575145
combo,0.0,47.0,86,Fo,6.741543624558634
combo,0.0,48.0,86,Fo,7.126116075348455
combo,0.0,49.0,86,Fo,7.471375016749479
combo,0.0,50.0,86,Fo,7.780821222164842
combo,0.0,51.0,86,Fo,8.057997753874725
combo,0.0,52.0,86,Fo,8.306207799528506
combo,0.0,53.0,86,Fo,8.528341377432833
combo,0.0,54.0,86,Fo,8.726800619093998
combo,0.0,55.0,86,Fo,8.903506950074108
combo,0.0,56.0,86,Fo,9.059979164378056
combo,0.0,57.0,86,Fo,9.197459898816605
combo,0.0,58.0,86,Fo,9.317067019465176
combo,0.0,59.0,86,Fo,9.419931393693075
combo,0.0,60.0,85,Fo,9.507294178388483
combo,0.0,61.0,85,Fo,9.580546572928453
combo,0.0,62.0,85,Fo,9.64121422303662
combo,0.0,63.0,85,Fo,9.690897316453897
combo,0.0,64.0,83,Fo,9.731193047149688
combo,0.0,65.0,83,Fo,9.763621769503812
combo,0.0,66.0,83,Fo,9.7895694067794
combo,0.0,67.0,83,Fo,9.810253688418404
combo,0.0,68.0,83,IL4,9.86578310279664
combo,0.0,69.0,83,IL4,9.934672357745605
combo,0.0,70.0,83,IL4,9.989023216514001
combo,0.0,71.0,83,IL4,10.031878898581384
combo,0.0,72.0,81,IL4,10.065696614910273
combo,0.0,73.0,81,IL4,10.092430280035433
combo,0.0,74.0,82,IL4,10.11361664698381
combo,0.0,75.0,82,IL4,10.13045645090305
combo,0.0,76.0,82,IL4,10.143883782062307
combo,0.0,77.0,82,IL4,10.154623503806855
combo,0.0,78.0,82,IL4,10.163241023056795
combo,0.0,79.0,82,IL4,10.170173993081416
combo,0.0,80.0,82,IL4,10.175761696552602
combo,1.0,30.0,10,ABm,3.497172428265258
combo,1.0,31.0,79,Mh_pro,5.46292683216602
combo,1.0,32.0,82,Mh_pro,8.580971103214555
combo,1.0,33.0,85,Mh_pro,9.80679361494543
combo,1.0,34.0,85,M_pro,11.114612446814274
combo,1.0,35.0,85,M_pro,12.934338590072446
combo,1.0,36.0,85,M_pro,12.182841083717053
combo,1.0,37.0,85,M_pro,10.042587139509546
combo,1.0,38.0,85,M_pro,7.77616754965144
combo,1.0,39.0,86,M_pro,5.9404534035877985
combo,1.0,40.0,86,Fi,5.219777047905441
combo,1.0,41.0,86,Fi,5.395619621350383
combo,1.0,42.0,86,Fi,5.529777132471181
combo,1.0,43.0,86,Fi,5.631485137746228
combo,1.0,44.0,86,Fo,5.833203219481543
combo,1.0,45.0,86,Fo,6.414647551480997
combo,1.0,46.0,86,Fo,6.950125776946502
combo,1.0,47.0,86,Fo,7.438759045020082
combo,1.0,48.0,86,Fo,7.88110992752792
combo,1.0,49.0,86,Fo,8.278499593150364
combo,1.0,50.0,86,Fo,8.632594323446291
combo,1.0,51.0,86,Fo,8.945239930560753
combo,1.0,52.0,86,Fo,9.218473734822057
combo,1.0,53.0,86,Fo,9.454620904618732
combo,1.0,54.0,86,Fo,9.656381519536188
combo,1.0,55.0,86,Fo,9.826839549728982
combo,1.0,56.0,86,Fo,9.969375189411473
combo,1.0,57.0,86,Fo,10.087507212737222
combo,1.0,58.0,85,Fo,10.184712858193567
combo,1.0,59.0,85,Fo,10.264268428986268
combo,1.0,60.0,85,Fo,10.329137918287676
combo,1.0,61.0,85,Fo,10.381914922900597
combo,1.0,62.0,83,Fo,10.424809653989637
combo,1.0,63.0,83,Fo,10.459670120129417
combo,1.0,64.0,83,Fo,10.488019304372918
combo,1.0,65.0,83,Fo,10.51109971780003
combo,1.0,66.0,83,Fo,10.529918951789922
combo,1.0,67.0,83,Fo,10.54529126084923
combo,1.0,68.0,83,Fo,10.557873135279264
combo,1.0,69.0,81,Fo,10.568193386422054
combo,1.0,70.0,81,Fo,10.57667833102565
combo,1.0,71.0,81,Fo,10.583671887992232
combo,1.0,72.0,81,Fo,10.58945164921274
combo,1.0,73.0,81,Fo,10.594241820415302
combo,1.0,74.0,82,Fo,10.598247932321954
combo,1.0,75.0,82,Fo,10.60448292052409
combo,1.0,76.0,82,Fo,10.621140113370858
combo,1.0,77.0,82,Fo,10.654123775294622
combo,1.0,78.0,82,Fo,10.706965429602446
combo,1.0,79.0,82,Fo,10.781414814974013
combo,1.0,80.0,81,Fo,10.877991275510693
